timestamp_ms,timestamp_str,cycle,predicted_class,confidence,all_probs,confirmed
3992842,01:06:32,266,western_meadowlark,0.3229,0.015;0.092;0.189;0.110;0.270;0.323,0
4007882,01:06:47,267,background,0.4065,0.014;0.407;0.019;0.340;0.081;0.139,0
4022922,01:07:02,268,american_crow,0.3724,0.372;0.372;0.026;0.062;0.015;0.152,0
4037962,01:07:17,269,background,0.5569,0.009;0.557;0.016;0.326;0.038;0.055,0
4053002,01:07:33,270,background,0.4667,0.013;0.467;0.022;0.273;0.065;0.160,0
4068042,01:07:48,271,red_tailed_hawk,0.3658,0.030;0.061;0.306;0.088;0.366;0.150,0
4083084,01:08:03,272,background,0.4545,0.013;0.454;0.015;0.318;0.091;0.109,0
4098122,01:08:18,273,background,0.4088,0.008;0.409;0.010;0.409;0.048;0.117,0
4113162,01:08:33,274,background,0.3533,0.012;0.353;0.024;0.353;0.085;0.173,0
4128202,01:08:48,275,background,0.6644,0.019;0.664;0.009;0.227;0.016;0.065,0
4143242,01:09:03,276,background,0.6741,0.016;0.674;0.011;0.231;0.013;0.055,0
4158282,01:09:18,277,background,0.4976,0.010;0.498;0.017;0.348;0.058;0.070,0
4173324,01:09:33,278,background,0.4154,0.017;0.415;0.024;0.243;0.058;0.243,0
4188362,01:09:48,279,background,0.4400,0.010;0.440;0.015;0.368;0.062;0.105,0
4203402,01:10:03,280,background,0.4096,0.011;0.410;0.023;0.200;0.069;0.287,0
4218442,01:10:18,281,background,0.5731,0.009;0.573;0.008;0.335;0.027;0.047,0
4233482,01:10:33,282,background,0.4267,0.014;0.427;0.102;0.209;0.102;0.146,0
4248522,01:10:48,283,red_tailed_hawk,0.3789,0.015;0.108;0.222;0.091;0.379;0.185,0
4263562,01:11:03,284,great_horned_owl,0.3420,0.011;0.239;0.023;0.342;0.286;0.098,0
4278604,01:11:18,285,western_meadowlark,0.4472,0.063;0.107;0.219;0.090;0.075;0.447,0
4293642,01:11:33,286,background,0.6422,0.015;0.642;0.031;0.263;0.013;0.037,0
4308682,01:11:48,287,background,0.3142,0.015;0.314;0.031;0.314;0.063;0.263,0
4323722,01:12:03,288,background,0.3889,0.019;0.389;0.046;0.389;0.065;0.093,0
4338762,01:12:18,289,background,0.4252,0.024;0.425;0.249;0.145;0.071;0.085,0
4353802,01:12:33,290,background,0.8064,0.009;0.806;0.011;0.161;0.003;0.009,0
4368844,01:12:48,291,background,0.5325,0.018;0.532;0.052;0.260;0.030;0.107,0
4383882,01:13:03,292,great_horned_owl,0.3095,0.018;0.259;0.030;0.310;0.074;0.310,0
4398922,01:13:18,293,background,0.8311,0.008;0.831;0.007;0.139;0.002;0.014,0
4413962,01:13:33,294,western_meadowlark,0.5226,0.025;0.105;0.073;0.150;0.125;0.523,1
4429306,01:13:49,295,red_tailed_hawk,0.3118,0.182;0.107;0.089;0.182;0.312;0.128,0
4444298,01:14:04,296,background,0.5234,0.012;0.523;0.018;0.306;0.036;0.105,0
4459338,01:14:19,297,background,0.5734,0.009;0.573;0.013;0.281;0.056;0.067,0
4474380,01:14:34,298,background,0.4723,0.011;0.472;0.011;0.395;0.055;0.055,0
4489418,01:14:49,299,background,0.4557,0.015;0.456;0.018;0.381;0.053;0.076,0
4504458,01:15:04,300,background,0.7228,0.017;0.723;0.017;0.173;0.029;0.041,0
4519498,01:15:19,301,background,0.6268,0.021;0.627;0.025;0.179;0.043;0.105,0
